ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	CARD Short Name
ARO:3002588	38988	399	1365	AAC(6')-I30	AAC(6')-I30	AAP43642.1	AY289608.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-I30
ARO:3002545	38945	547	574	AAC(6')-Ia	AAC(6')-Ia	AAA98298.1	M18967.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ia
ARO:3002571	38971	5208	1526	AAC(6')-Iaa	AAC(6')-Iaa	AAL20537.1	AE006468.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iaa
ARO:3002572	38972	264	1911	AAC(6')-Iad	AAC(6')-Iad	BAD12078.1	AB119105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iad
ARO:3002573	38973	583	738	AAC(6')-Iae	AAC(6')-Iae	BAD14386.1	AB104852.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iae
ARO:3002574	38974	672	156	AAC(6')-Iaf	AAC(6')-Iaf	BAH66386.1	AB462903.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iaf
ARO:3004638	42632	5449	3338	AAC(6')-Iag	AAC(6')-Iag	BAN78519.1	AB472901.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iag
ARO:3002575	38975	708	1602	AAC(6')-Iai	AAC(6')-Iai	ACI28880.1	EU886977.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iai
ARO:3003677	40309	3379	2191	AAC(6')-Iaj	AAC(6')-Iaj	BAM46120.1	AB709942.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iaj
ARO:3003199	39782	4672	1909	AAC(6')-Iak	AAC(6')-Iak	BAO21229.1	AB894482.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iak
ARO:3003200	39784	5297	3319	AAC(6')-Ian	AAC(6')-Ian	BAQ22025.1	AP014611.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ian
ARO:3002546	38946	231	63	AAC(6')-Ib	AAC(6')-Ib	AFJ11384.1	JQ808129.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib
ARO:3003676	40308	4753	1235	AAC(6')-Ib'	AAC(6')-Ib'	AAT74613.1	AY660529.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib'
ARO:3002581	38981	314	1370	AAC(6')-Ib10	AAC(6')-Ib10	AAC46343.1	U59183.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib10
ARO:3002582	38982	366	1801	AAC(6')-Ib11	AAC(6')-Ib11	AAN41403.1	AY136758.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib11
ARO:3002576	38976	141	1068	AAC(6')-Ib3	AAC(6')-Ib3	ACS44715.1	FJ854362.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib3
ARO:3002577	38977	401	1002	AAC(6')-Ib4	AAC(6')-Ib4	AAL38577.1	AF445082.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib4
ARO:3002578	38978	5850	2117	AAC(6')-Ib7	AAC(6')-Ib7	AKN19287.1	KR091911.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib7
ARO:3002579	38979	5456	2071	AAC(6')-Ib8	AAC(6')-Ib8	AIK02012.1	KF998105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib8
ARO:3002580	38980	463	993	AAC(6')-Ib9	AAC(6')-Ib9	AAD02244.1	AF043381.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib9
ARO:3002547	38947	6152	1678	AAC(6')-Ib-cr1	AAC(6')-Ib-cr1	WP_071846215.1	NG_052213.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr1
ARO:3005112	43327	6153	3840	AAC(6')-Ib-cr3	AAC(6')-Ib-cr3	ADY02579.1	HQ170516.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr3
ARO:3005114	43329	6154	3841	AAC(6')-Ib-cr4	AAC(6')-Ib-cr4	KJX28101.1	JZKY01000061.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr4
ARO:3005115	43331	6155	3842	AAC(6')-Ib-cr5	AAC(6')-Ib-cr5	ABX24471.1	EU161636.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr5
ARO:3005116	43332	6156	3843	AAC(6')-Ib-cr6	AAC(6')-Ib-cr6	ACD56150.1	EU675686.2	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr6
ARO:3005117	43333	6157	3844	AAC(6')-Ib-cr7	AAC(6')-Ib-cr7	NON98701.1	JABGAB010000032.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr7
ARO:3005118	43334	6158	3845	AAC(6')-Ib-cr8	AAC(6')-Ib-cr8	AZK52946.1	CP034250.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr8
ARO:3005119	43335	6159	3846	AAC(6')-Ib-cr9	AAC(6')-Ib-cr9	AYD68572.1	MH569711.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation	AAC(6')-Ib-cr9
ARO:3002592	38992	29	1000	AAC(6')-Ib-Hangzhou	AAC(6')-Ib-Hangzhou	ACL37342.1	FJ503047.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC6_IB_HZ
ARO:3002593	38993	360	1024	AAC(6')-Ib-SK	AAC(6')-Ib-SK	BAD11815.1	AB164230.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib-SK
ARO:3002591	38991	83	444	AAC(6')-Ib-Suzhou	AAC(6')-Ib-Suzhou	ABU55430.1	EU085533.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC_6_IB_Su
ARO:3002549	38949	306	1299	AAC(6')-Ic	AAC(6')-Ic	AAA26549.1	M94066.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ic
ARO:3002597	38997	5296	1814	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	AAA88548.1	GU565967.1	AAC(6');APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	AAC6_Ie_APH2_Ia
ARO:3002553	38953	358	1651	AAC(6')-If	AAC(6')-If	CAA39038.1	X55353.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-If
ARO:3002554	38954	396	1111	AAC(6')-Ig	AAC(6')-Ig	AAA21889.1	L09246.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ig
ARO:3002555	38955	456	676	AAC(6')-Ih	AAC(6')-Ih	AAC41391.1	L29044.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ih
ARO:3002556	38956	172	1050	AAC(6')-Ii	AAC(6')-Ii	AAB63533.1	L12710.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ii
ARO:3002594	38994	460	1657	AAC(6')-IIa	AAC(6')-IIa	AAM92464.1	AY123251.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIa
ARO:3002595	38995	497	140	AAC(6')-IIb	AAC(6')-IIb	AAA25680.1	L06163.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIb
ARO:3002596	38996	313	730	AAC(6')-IIc	AAC(6')-IIc	AAD46626.1	AF162771.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIc
ARO:3002589	38989	8166	1831	AAC(6')-Iid	AAC(6')-Iid	CAE50925.1	AJ584700.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iid
ARO:3002590	38990	8279	1891	AAC(6')-Iih	AAC(6')-Iih	CAE50926.1	AJ584701.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iih
ARO:3002557	38957	494	724	AAC(6')-Ij	AAC(6')-Ij	AAC41392.1	L29045.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ij
ARO:3002558	38958	541	1977	AAC(6')-Ik	AAC(6')-Ik	AAA87229.1	L29510.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ik
ARO:3004635	42624	8368	3334	AAC(6')-Il	AAC(6')-Il	AAA90937.1	U13880.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Il
ARO:3004629	42615	5375	3328	AAC(6')-Im	AAC(6')-Im	AAK63041.1	AF337947.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Im
ARO:3002559	38959	5237	1653	AAC(6')-Ip	AAC(6')-Ip	CAA91010.1	Z54241.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ip
ARO:3002560	38960	343	1327	AAC(6')-Iq	AAC(6')-Iq	AAC25500.1	AF047556.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iq
ARO:3002561	38961	581	1821	AAC(6')-Ir	AAC(6')-Ir	AAD03490.1	AF031326.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ir
ARO:3002562	38962	669	544	AAC(6')-Is	AAC(6')-Is	AAD03491.1	AF031327.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Is
ARO:3002563	38963	705	967	AAC(6')-Isa	AAC(6')-Isa	BAD10948.2	AB116646.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Isa
ARO:3002564	38964	736	1674	AAC(6')-It	AAC(6')-It	AAD03492.1	AF031328.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-It
ARO:3002565	38965	27	110	AAC(6')-Iu	AAC(6')-Iu	AAD03493.1	AF031329.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iu
ARO:3002566	38966	81	784	AAC(6')-Iv	AAC(6')-Iv	AAD03494.1	AF031330.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iv
ARO:3002567	38967	139	1271	AAC(6')-Iw	AAC(6')-Iw	AAD03495.1	AF031331.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iw
ARO:3002568	38968	170	1939	AAC(6')-Ix	AAC(6')-Ix	AAD03496.1	AF031332.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ix
ARO:3002569	38969	397	360	AAC(6')-Iy	AAC(6')-Iy	AAF03531.1	AF144880.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iy
ARO:3002570	38970	205	1995	AAC(6')-Iz	AAC(6')-Iz	AAD52985.1	AF140221.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iz
ARO:3004641	42650	5464	3340	aacA43	aacA43	AEA07977.1	HQ247816.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aacA43
ARO:3002628	39028	6244	1562	aad(6)	aad(6)	AAU10334.1	AY712687.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	aad(6)
ARO:3002601	39001	5220	650	aadA	aadA	AAO49597.1	AF550679.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA
ARO:3004692	42744	5586	3398	aadA10	aadA10	AAL36430.1	U37105.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA10
ARO:3002611	39011	13	1772	aadA11	aadA11	AAV32840.1	AY758206.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA11
ARO:3002612	39012	57	149	aadA12	aadA12	ACJ47200.1	FJ381668.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA12
ARO:3002613	39013	5258	2087	aadA13	aadA13	ABW91178.1	EU746499.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA13
ARO:3002614	39014	4676	1839	aadA14	aadA14	CAI57696.1	AJ884726.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA14
ARO:3002615	39015	116	1162	aadA15	aadA15	ABD58917.1	DQ393783.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA15
ARO:3002616	39016	8226	1762	aadA16	aadA16	ACF17980.1	EU675686.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA16
ARO:3002617	39017	8152	502	aadA17	aadA17	ACK43806.1	FJ460181.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA17
ARO:3002602	39002	3404	1227	aadA2	aadA2	AAF27727.1	AF156486.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA2
ARO:3002618	39018	195	584	aadA21	aadA21	AAN87151.1	AY171244.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA21
ARO:3002619	39019	238	1392	aadA22	aadA22	CAK12750.1	AM261837.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA22
ARO:3002620	39020	280	69	aadA23	aadA23	CAH10847.1	AJ809407.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA23
ARO:3002621	39021	330	1682	aadA24	aadA24	ABG72894.1	DQ677333.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA24
ARO:3003197	39780	3329	642	aadA25	aadA25	AET15272.1	CP003022.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA25
ARO:3004682	42731	5567	3381	aadA27	aadA27	CTQ57092.1	LN873256.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA27
ARO:3002603	39003	8168	1539	aadA3	aadA3	AAC14728.1	AF047479.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA3
ARO:3002604	39004	408	120	aadA4	aadA4	AAN34365.1	AY138986.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA4
ARO:3002605	39005	471	1420	aadA5	aadA5	AAF17880.1	AF137361.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA5
ARO:3002606	39006	199	2009	aadA6	aadA6	CAJ32504.1	AM087411.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA6
ARO:3002622	39022	409	1242	aadA6/aadA10	aadA6/aadA10	CAJ32491.1	AM087405.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA6/aadA10
ARO:3002607	39007	516	1464	aadA7	aadA7	BAD00739.1	AB114632.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA7
ARO:3002608	39008	558	2043	aadA8	aadA8	AAN41439.1	AY139603.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA8
ARO:3004704	42757	5587	3399	aadA8b	aadA8b	CAJ13568.1	AM040708.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA8b
ARO:3002609	39009	4491	323	aadA9	aadA9	ABG49324.1	DQ390458.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA9
ARO:3002627	39027	4533	426	aadK	aadK	CAB14620.1	AL009126.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	aadK
ARO:3004683	42732	5568	3382	aadS	aadS	AAA27459.1	M72415.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	aadS
ARO:3006863	45325	6497	4122	AAK-1	AAK-1	WP_194293132.1	NG_070893.1	AAK beta-lactamase	carbapenem	antibiotic inactivation	AAK-1
ARO:3003942	40695	4691	2416	abcA	abcA	XP_753111.1	XM_748018.1	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin;penam;peptide antibiotic	antibiotic efflux	abcA
ARO:3000753	37133	8212	1368	abeM	abeM	BAD89844.2	AB204810.2	multidrug and toxic compound extrusion (MATE) transporter	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	abeM
ARO:3000768	37148	4569	593	abeS	abeS	ACJ59254.1	CP001172.1	small multidrug resistance (SMR) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic	antibiotic efflux	abeS
ARO:3001815	38215	856	1663	ACC-1	ACC-1	CAB46491.1	AJ133121.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-1
ARO:3006228	44690	6498	4123	ACC-1a	ACC-1a	WP_039189232.1	NG_048589.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-1a
ARO:3006229	44691	6499	4124	ACC-1b	ACC-1b	WP_063857697.1	NG_048590.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-1b
ARO:3006230	44692	6500	4125	ACC-1c	ACC-1c	WP_063857698.1	NG_048591.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-1c
ARO:3006231	44693	6501	4126	ACC-1d	ACC-1d	WP_008815550.1	NG_048592.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-1d
ARO:3001816	38216	1852	2024	ACC-2	ACC-2	AAF86691.1	AF180952.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-2
ARO:3001817	38217	1910	1422	ACC-3	ACC-3	AAF86697.1	AF180958.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-3
ARO:3001818	38218	8175	406	ACC-4	ACC-4	ABP49606.1	EF504260.2	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-4
ARO:3001819	38219	778	1865	ACC-5	ACC-5	CCK86740.1	HE819401.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-5
ARO:3006232	44694	6502	4127	ACC-7	ACC-7	WP_099156055.1	NG_055669.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-7
ARO:3006233	44695	6503	4128	ACC-8	ACC-8	WP_188331862.1	NG_070728.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	ACC-8
ARO:3004359	41531	4259	2874	ACI-1	ACI-1	CAB51471.1	AJ007350.1	ACI beta-lactamase	cephalosporin;penam;penem	antibiotic inactivation	ACI-1
ARO:3004573	42487	5139	3277	Acinetobacter baumannii AbaF	Acinetobacter baumannii AbaF	ABO11759.2	CP000521.1	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux	Abau_AbaF
ARO:3004574	42490	5314	3278	Acinetobacter baumannii AbaQ	Acinetobacter baumannii AbaQ	ACJ41547.2	CP001182.2	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	Abau_AbaQ
ARO:3004578	42502	5148	3281	Acinetobacter baumannii AbuO	Acinetobacter baumannii AbuO	WP_001985623.1	NC_010410.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;glycylcycline;penam;tetracycline antibiotic	antibiotic efflux	Abau_AbuO
ARO:3003796	40481	3566	2300	Acinetobacter baumannii ampC beta-lactamase	Acinetobacter baumannii ampC beta-lactamase	ACJ42146.1	CP001182.1	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation	Abau_ampC_BLA
ARO:3004577	42497	5144	3280	Acinetobacter baumannii AmvA	Acinetobacter baumannii AmvA	ACQ82816.1	FJ911554.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic	antibiotic efflux	Abau_AmvA
