Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AAA25334.1	M55427.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA16194.1	M88012.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA88552.1	M22999.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA26685.1	M55426.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
BAA78619.1	AB028210.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
WP_064190968.1	NG_048575.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
WP_064190969.1	NG_048576.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAE48335.2	AJ584652.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAK55557.1	AM283489.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ABR10839.1	EF614235.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AEZ05106.1	JN596280.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
APB03223.1	KX531053.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAP43642.1	AY289608.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA98298.1	M18967.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAL20537.1	AE006468.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAD12078.1	AB119105.1	AAC(6')	N/A	antibiotic inactivation
BAD14386.1	AB104852.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAH66386.1	AB462903.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAN78519.1	AB472901.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ACI28880.1	EU886977.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAM46120.1	AB709942.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAO21229.1	AB894482.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAQ22025.1	AP014611.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AFJ11384.1	JQ808129.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAT74613.1	AY660529.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC46343.1	U59183.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAN41403.1	AY136758.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ACS44715.1	FJ854362.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAL38577.1	AF445082.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AKN19287.1	KR091911.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AIK02012.1	KF998105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD02244.1	AF043381.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
WP_071846215.1	NG_052213.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
ADY02579.1	HQ170516.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
KJX28101.1	JZKY01000061.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
ABX24471.1	EU161636.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
ACD56150.1	EU675686.2	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
NON98701.1	JABGAB010000032.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
AZK52946.1	CP034250.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
AYD68572.1	MH569711.1	AAC(6')-Ib-cr	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
ACL37342.1	FJ503047.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAD11815.1	AB164230.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ABU55430.1	EU085533.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA26549.1	M94066.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA88548.1	GU565967.1	AAC(6');APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
CAA39038.1	X55353.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA21889.1	L09246.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC41391.1	L29044.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAB63533.1	L12710.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAM92464.1	AY123251.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA25680.1	L06163.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD46626.1	AF162771.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAE50925.1	AJ584700.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAE50926.1	AJ584701.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC41392.1	L29045.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA87229.1	L29510.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA90937.1	U13880.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAK63041.1	AF337947.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAA91010.1	Z54241.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC25500.1	AF047556.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03490.1	AF031326.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03491.1	AF031327.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAD10948.2	AB116646.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03492.1	AF031328.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03493.1	AF031329.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03494.1	AF031330.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03495.1	AF031331.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03496.1	AF031332.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAF03531.1	AF144880.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD52985.1	AF140221.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AEA07977.1	HQ247816.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAU10334.1	AY712687.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
AAO49597.1	AF550679.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAL36430.1	U37105.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAV32840.1	AY758206.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ACJ47200.1	FJ381668.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ABW91178.1	EU746499.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAI57696.1	AJ884726.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ABD58917.1	DQ393783.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ACF17980.1	EU675686.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ACK43806.1	FJ460181.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAF27727.1	AF156486.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAN87151.1	AY171244.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAK12750.1	AM261837.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAH10847.1	AJ809407.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ABG72894.1	DQ677333.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AET15272.1	CP003022.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CTQ57092.1	LN873256.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAC14728.1	AF047479.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAN34365.1	AY138986.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAF17880.1	AF137361.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAJ32504.1	AM087411.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAJ32491.1	AM087405.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
BAD00739.1	AB114632.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAN41439.1	AY139603.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAJ13568.1	AM040708.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ABG49324.1	DQ390458.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAB14620.1	AL009126.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
AAA27459.1	M72415.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
WP_194293132.1	NG_070893.1	AAK beta-lactamase	carbapenem	antibiotic inactivation
XP_753111.1	XM_748018.1	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin;penam;peptide antibiotic	antibiotic efflux
BAD89844.2	AB204810.2	multidrug and toxic compound extrusion (MATE) transporter	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux
ACJ59254.1	CP001172.1	small multidrug resistance (SMR) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic	antibiotic efflux
CAB46491.1	AJ133121.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
WP_039189232.1	NG_048589.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
WP_063857697.1	NG_048590.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
WP_063857698.1	NG_048591.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
WP_008815550.1	NG_048592.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
AAF86691.1	AF180952.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
AAF86697.1	AF180958.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
ABP49606.1	EF504260.2	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
CCK86740.1	HE819401.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
WP_099156055.1	NG_055669.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
WP_188331862.1	NG_070728.1	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
CAB51471.1	AJ007350.1	ACI beta-lactamase	cephalosporin;penam;penem	antibiotic inactivation
ABO11759.2	CP000521.1	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
ACJ41547.2	CP001182.2	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
WP_001985623.1	NC_010410.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;glycylcycline;penam;tetracycline antibiotic	antibiotic efflux
ACJ42146.1	CP001182.1	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACQ82816.1	FJ911554.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic	antibiotic efflux
AJF82744.1	CP010781.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
AHB92962.1	CP006768.1	Outer Membrane Porin (Opr)	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	reduced permeability to antibiotic;resistance by absence
WP_000202252.1	NZ_CP009257.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
AAC73564.1	U00096.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
BAA16344.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
AAC76297.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
AAC76298.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
AAC76296.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
AAC45086.2	U58495.2	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AEV91214.1	JN848330.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFU25650.1	JX440355.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
CCK86741.1	HE819402.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFU25647.1	JX440354.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFU25653.1	JX440356.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
BAM34463.1	AB737978.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76771.1	KF992026.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76777.1	KF992028.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76779.1	KF992029.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
CAJ28994.1	AM076977.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHA80105.1	KF526117.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHA80106.1	KF526118.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76774.1	KF992027.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AGU38146.1	KF515536.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39336.1	KJ207207.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39338.1	KJ207208.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39340.1	KJ207209.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39333.1	KJ207206.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76085.1	KM087832.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ABL67017.1	EF125013.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76086.1	KM087833.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76096.1	KM087843.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76088.1	KM087835.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76087.1	KM087834.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_063857778.1	NG_048621.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
BAP68758.1	LC004922.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AJG06170.1	KM926621.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AJG06172.1	KM926622.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AKS43590.1	KP836350.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_063857782.1	NG_048626.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ABZ81086.1	EU427302.2	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045328874.1	NG_050703.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045331818.1	NG_050704.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_040117106.1	NG_050705.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_015572455.1	NG_050706.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045340466.1	NG_050707.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_032608349.1	NG_050708.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045337464.1	NG_050709.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045309142.1	NG_050710.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045331469.1	NG_050711.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045261282.1	NG_050712.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACJ05689.1	FJ237369.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045286607.1	NG_050713.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045269678.1	NG_050714.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_014882211.1	NG_050715.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_032644152.1	NG_055522.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_099156056.1	NG_055670.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_047052637.1	NG_061414.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_033487869.1	NG_061415.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_094935119.1	NG_061418.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_111965422.1	NG_061419.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_112792421.1	NG_061401.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACJ05686.1	FJ237366.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_111976052.1	NG_061402.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_112017656.1	NG_061387.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_111967096.1	NG_061388.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_112780466.1	NG_061406.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_050861789.1	NG_061403.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_047726486.1	NG_064665.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_032625176.1	NG_064666.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_063147148.1	NG_064667.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_136512051.1	NG_064668.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_048209719.1	NG_065855.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACJ05688.1	FJ237368.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_047364854.1	NG_065856.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045895620.1	NG_065857.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_152315464.1	NG_066689.2	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_032652275.1	NG_066690.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_045347148.1	NG_066691.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_126817982.1	NG_066692.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_060573544.1	NG_067132.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_164461280.1	NG_067972.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_164461281.1	NG_067973.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
CBI75448.1	FN645445.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_164461282.1	NG_067974.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_164461283.1	NG_067975.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_164461284.1	NG_067976.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_164461285.1	NG_067977.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_072139974.1	NG_068161.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_121527365.1	NG_070175.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AEI70575.1	HQ693810.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
CAB77444.1	AJ009979.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
ABI18382.1	DQ883640.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981607.1	NG_051439.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981608.1	NG_051440.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981609.1	NG_051441.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981610.1	NG_051442.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981611.1	NG_051443.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981612.1	NG_051444.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981613.1	NG_051445.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_068981614.1	NG_051446.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512052.1	NG_064669.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
ADG46039.1	GU591983.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512053.1	NG_064670.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512054.1	NG_064671.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_136512055.1	NG_064672.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_125052776.1	NG_064673.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_001211215.1	NG_064674.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_017816757.1	NG_064675.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_002157727.1	NG_064676.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_004712857.1	NG_064677.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CAK95249.1	AM283529.1	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
WP_002126587.1	NG_064678.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
WP_005109685.1	NG_064679.1	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
