start	stop	frame	contig	score	gene	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	match_type	gene_hmm	loca	phrog_hmm	alnScore_hmm	seqIdentity_hmm	eVal_hmm	color	annot	category
3241	3122	-	EC23	-4.603897605141664	EC23_10 3241_3122	24157	18.1	0.096	9.88	NA	PHANOTATE	CDS	hmm	EC23_10	3241_3122	phrog_24157	18.1	0.096	9.88	#c9c9c9	hypothetical protein	unknown function
3664	3557	-	EC23	-0.128312015881925	EC23_11 3664_3557	23151	21.0	0.113	2.57	NA	PHANOTATE	CDS	hmm	EC23_11	3664_3557	phrog_23151	21.0	0.113	2.57	#c9c9c9	hypothetical protein	unknown function
3892	3710	-	EC23	-0.0954277788599445	EC23_12 3892_3710	5849	20.2	0.029	3.84	NA	PHANOTATE	CDS	hmm	EC23_12	3892_3710	phrog_5849	20.2	0.029	3.84	#c9c9c9	hypothetical protein	unknown function
4101	3952	-	EC23	-0.1066637124276346	EC23_13 4101_3952	22926	15.5	0.048	32.8	NA	PHANOTATE	CDS	hmm	EC23_13	4101_3952	phrog_22926	15.5	0.048	32.8	#c9c9c9	hypothetical protein	unknown function
4334	4185	-	EC23	-55.92512728579981	EC23_14 4334_4185	2423	79.0	0.766	2.4529999999999996e-22	KY435490_p57	PHANOTATE	CDS	mmseqs	EC23_14	4334_4185	phrog_324	16.4	0.018	13.7	#c9c9c9	hypothetical protein	unknown function
6058	4346	-	EC23	-26954933781.438908	EC23_15 6058_4346	2234	74.0	0.238	3.242e-16	NC_020081_p203	PHANOTATE	CDS	mmseqs	EC23_15	6058_4346	phrog_7458	86.2	0.099	4.34e-13	#07e9a2	tail spike protein	tail
8042	6144	-	EC23	-851694163.8247328	EC23_16 8042_6144	14895	1346.0	1.0	0.0	MG251390_p54	PHANOTATE	CDS	mmseqs	EC23_16	8042_6144	phrog_1171	347.7	0.417	2.9300000000000003e-64	#07e9a2	tail spike protein	tail
8371	8174	-	EC23	-9.68223774850569	EC23_17 8371_8174	8971	139.0	0.996	7.829e-43	NC_007637_p59	PHANOTATE	CDS	mmseqs	EC23_17	8371_8174	phrog_5768	30.2	0.111	0.0411	#f35f49	Rz-like spanin	lysis
8610	8461	-	EC23	-8.026318355426001	EC23_18 8610_8461	4712	76.0	0.78	2.812e-21	NC_013651_p44	PHANOTATE	CDS	mmseqs	EC23_18	8610_8461	phrog_3087	32.9	0.191	0.0127	#f35f49	holin	lysis
8725	8594	-	EC23	-5.6812317454818	EC23_19 8725_8594	1312	63.0	0.697	9.245e-17	NC_028795_p19	PHANOTATE	CDS	mmseqs	EC23_19	8725_8594	phrog_4454	28.7	0.017	0.0741	#c9c9c9	hypothetical protein	unknown function
9063	8719	-	EC23	-128.71755887598255	EC23_20 9063_8719	894	122.0	0.483	1.2340000000000001e-34	KR093626_p4	PHANOTATE	CDS	mmseqs	EC23_20	9063_8719	phrog_17373	66.6	0.138	3.26e-09	#f35f49	endolysin	lysis
9752	9063	-	EC23	-13006.285248839484	EC23_21 9752_9063	32357	440.0	0.922	6.155e-144	MG775042_p16	PHANOTATE	CDS	mmseqs	EC23_21	9752_9063	phrog_2725	65.0	0.22	5.35e-09	#c9c9c9	hypothetical protein	unknown function
10038	9754	-	EC23	-94.28005165459065	EC23_22 10038_9754	2725	122.0	0.715	1.8940000000000002e-36	NC_025822_p40	PHANOTATE	CDS	mmseqs	EC23_22	10038_9754	phrog_32357	59.6	0.116	7.51e-08	#838383	acetyl-CoA acetyltransferase	other
10337	10056	-	EC23	-109.63452042541132	EC23_23 10337_10056	2725	117.0	0.638	1.1620000000000001e-34	NC_025822_p40	PHANOTATE	CDS	mmseqs	EC23_23	10337_10056	phrog_32357	26.2	0.082	0.252	#838383	acetyl-CoA acetyltransferase	other
12390	10495	-	EC23	-3246956585146.932	EC23_24 12390_10495	17672	867.0	1.0	1.604e-288	NC_007637_p52	PHANOTATE	CDS	mmseqs	EC23_24	12390_10495	phrog_15524	470.1	0.423	4.15e-88	#3e83f6	terminase large subunit	head and packaging
12689	12390	-	EC23	-20.87554107720459	EC23_25 12689_12390	891	84.0	0.479	1.102e-22	KY065149_p24	PHANOTATE	CDS	mmseqs	EC23_25	12689_12390	phrog_34686	18.8	0.146	7.42	#3e83f6	terminase small subunit	head and packaging
12867	12673	-	EC23	-91.67389073930835	EC23_26 12867_12673	920	80.0	0.595	2.354e-22	NC_028880_p40	PHANOTATE	CDS	mmseqs	EC23_26	12867_12673	phrog_1009	30.5	0.055	0.0262	#f35f49	holin	lysis
13839	12877	-	EC23	-68605449.17237452	EC23_27 13839_12877	2710	336.0	0.638	2.283e-106	MF612071_p45	PHANOTATE	CDS	mmseqs	EC23_27	13839_12877	phrog_11393	122.7	0.124	3.33e-20	#07e9a2	tail fiber protein	tail
17147	13839	-	EC23	-5.835751379496538e+22	EC23_28 17147_13839	342	279.0	0.226	3.5780000000000004e-78	NC_028880_p38	PHANOTATE	CDS	mmseqs	EC23_28	17147_13839	phrog_37474	53.2	0.06	1.33e-06	#3e83f6	internal virion protein with endolysin domain	head and packaging
20160	17212	-	EC23	-3.189503344746536e+19	EC23_29 20160_17212	4290	626.0	0.509	1.3540000000000002e-199	MG545917_p39	PHANOTATE	CDS	mmseqs	EC23_29	20160_17212	phrog_7	48.4	0.102	8.13e-06	#f35f49	lysozyme domain-containing protein	lysis
20882	20160	-	EC23	-1630.2995441171106	EC23_30 20882_20160	805	132.0	0.464	4.237e-38	MG957431_p3	PHANOTATE	CDS	mmseqs	EC23_30	20882_20160	phrog_4295	35.2	0.098	0.00379	#3e83f6	internal virion protein	head and packaging
23284	20882	-	EC23	-2.2412387877168384e+16	EC23_31 23284_20882	457	562.0	0.363	1.761e-173	NC_020874_p22	PHANOTATE	CDS	mmseqs	EC23_31	23284_20882	phrog_14251	15.6	0.009	29.6	#07e9a2	tail protein	tail
24021	23284	-	EC23	-706616.332008314	EC23_32 24021_23284	446	173.0	0.481	5.539e-52	NC_004777_p36	PHANOTATE	CDS	mmseqs	EC23_32	24021_23284	phrog_394	31.6	0.128	0.0162	#07e9a2	tail protein	tail
25290	24076	-	EC23	-13389958.857832067	EC23_33 25290_24076	267	120.0	0.276	7.907e-32	NC_031123_p36	PHANOTATE	CDS	mmseqs	EC23_33	25290_24076	phrog_7873	14.6	0.062	48.5	#3e83f6	major head protein	head and packaging
26290	25370	-	EC23	-5469712.043034428	EC23_34 26290_25370	1018	110.0	0.306	1.527e-29	HG796221_p32	PHANOTATE	CDS	mmseqs	EC23_34	26290_25370	phrog_1052	73.4	0.085	1.18e-10	#3e83f6	head scaffolding protein	head and packaging
27840	26290	-	EC23	-134963318082.16689	EC23_35 27840_26290	449	497.0	0.524	3.9269999999999996e-158	KM576124_p42	PHANOTATE	CDS	mmseqs	EC23_35	27840_26290	phrog_332	64.4	0.072	5.78e-09	#35d7ff	head-tail adaptor	connector
28051	27842	-	EC23	-36.82409351063501	EC23_36 28051_27842	9033	49.0	0.533	9.75e-12	KY626176_p31	PHANOTATE	CDS	mmseqs	EC23_36	28051_27842	phrog_1320	55.7	0.159	3.75e-07	#c9c9c9	hypothetical protein	unknown function
28522	28061	-	EC23	-4323.435656039771	EC23_37 28522_28061	1249	98.0	0.391	2.836e-27	NC_028770_p48	PHANOTATE	CDS	mmseqs	EC23_37	28522_28061	phrog_3810	40.1	0.069	0.000376	#838383	acetyltransferase	other
28632	28519	-	EC23	-10.632560444042117	EC23_38 28632_28519	6507	71.0	0.886	3.1e-19	NC_031271_p26	PHANOTATE	CDS	mmseqs	EC23_38	28632_28519	phrog_8706	23.5	0.054	0.854	#c9c9c9	hypothetical protein	unknown function
28867	28652	-	EC23	-60.15278168186163	EC23_39 28867_28652	5860	123.0	0.875	5.462e-37	MG736918_p27	PHANOTATE	CDS	mmseqs	EC23_39	28867_28652	phrog_14692	27.6	0.193	0.132	#c9c9c9	hypothetical protein	unknown function
29786	28839	-	EC23	-17242556.682347033	EC23_40 29786_28839	114	89.0	0.266	2.087e-21	NC_019913_p32	PHANOTATE	CDS	mmseqs	EC23_40	29786_28839	phrog_34993	13.9	0.024	65.5	#ffdf59	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism
30291	29788	-	EC23	-5428.552606172793	EC23_41 30291_29788	2585	118.0	0.783	4.5989999999999996e-33	NC_031115_p18	PHANOTATE	CDS	mmseqs	EC23_41	30291_29788	phrog_1689	135.3	0.159	9.329999999999999e-23	#838383	nucleotide kinase	other
31532	30393	-	EC23	-676598.784601309	EC23_42 31532_30393	221	188.0	0.436	2.865e-56	MH020239_p48	PHANOTATE	CDS	mmseqs	EC23_42	31532_30393	phrog_7339	21.2	0.082	1.96	#838383	metallo-phosphoesterase	other
31673	31542	-	EC23	-2.741912388045716	EC23_43 31673_31542	16030	17.6	0.125	12.6	NA	PHANOTATE	CDS	hmm	EC23_43	31673_31542	phrog_16030	17.6	0.125	12.6	#c9c9c9	hypothetical protein	unknown function
32816	31788	-	EC23	-45980872.53917246	EC23_44 32816_31788	107	151.0	0.351	6.575e-43	NC_019402_p42	PHANOTATE	CDS	mmseqs	EC23_44	32816_31788	phrog_37265	17.5	0.013	13.4	#ffdf59	RNaseH	DNA, RNA and nucleotide metabolism
32919	32830	-	EC23	-1.3238238718280275	EC23_45 32919_32830	38380	22.1	0.153	1.7	NA	PHANOTATE	CDS	hmm	EC23_45	32919_32830	phrog_38380	22.1	0.153	1.7	#c9c9c9	hypothetical protein	unknown function
33452	33078	-	EC23	-849.942805419802	EC23_46 33452_33078	4429	181.0	0.715	2.438e-56	MG545917_p23	PHANOTATE	CDS	mmseqs	EC23_46	33452_33078	phrog_25485	23.4	0.112	0.884	#c9c9c9	hypothetical protein	unknown function
33776	33558	-	EC23	-18.706316531750833	EC23_47 33776_33558	5791	145.0	0.946	5.738999999999999e-45	KY295891_p13	PHANOTATE	CDS	mmseqs	EC23_47	33776_33558	phrog_8057	33.3	0.111	0.0103	#c9c9c9	hypothetical protein	unknown function
34592	33786	-	EC23	-3917765.6265473654	EC23_48 34592_33786	862	144.0	0.381	1.9049999999999998e-41	MG676466_p38	PHANOTATE	CDS	mmseqs	EC23_48	34592_33786	phrog_36036	20.9	0.078	2.75	#c9c9c9	hypothetical protein	unknown function
35047	34670	-	EC23	-1924.003840189556	EC23_49 35047_34670	7450	243.0	0.922	6.786000000000001e-78	NC_031271_p14	PHANOTATE	CDS	mmseqs	EC23_49	35047_34670	phrog_32541	19.2	0.118	5.98	#ff59f5	polysaccharide chain length determinant protein	moron, auxiliary metabolic gene and host takeover
35394	35134	-	EC23	-82.15796855233249	EC23_50 35394_35134	35123	29.0	0.324	0.0004682	NC_028916_p18	PHANOTATE	CDS	mmseqs	EC23_50	35394_35134	phrog_20140	20.0	0.075	4.29	#c9c9c9	hypothetical protein	unknown function
35550	35452	-	EC23	-4.264995757018456	EC23_51 35550_35452	4539	74.0	1.0	8.439e-21	KY295897_p27	PHANOTATE	CDS	mmseqs	EC23_51	35550_35452	phrog_23414	26.2	0.1	0.26	#c9c9c9	hypothetical protein	unknown function
35666	35550	-	EC23	-10.44028493077624	EC23_52 35666_35550	15860	96.0	1.0	2.195e-28	NC_007637_p23	PHANOTATE	CDS	mmseqs	EC23_52	35666_35550	phrog_32463	23.1	0.167	1.03	#c9c9c9	hypothetical protein	unknown function
38212	35666	-	EC23	-9831156975927048.0	EC23_53 38212_35666	17	386.0	0.373	1.746e-118	NC_019926_p15	PHANOTATE	CDS	mmseqs	EC23_53	38212_35666	phrog_6375	228.2	0.604	7.87e-41	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
38356	38267	-	EC23	-3.077749580881332	EC23_54 38356_38267	10572	19.0	0.036	6.11	NA	PHANOTATE	CDS	hmm	EC23_54	38356_38267	phrog_10572	19.0	0.036	6.11	#c9c9c9	hypothetical protein	unknown function
38512	38405	-	EC23	-17.798437401000733	EC23_55 38512_38405	15473	87.0	1.0	2.017e-25	KY295897_p24	PHANOTATE	CDS	mmseqs	EC23_55	38512_38405	phrog_4240	31.6	0.054	0.0184	#c9c9c9	hypothetical protein	unknown function
38746	38570	-	EC23	-22.15187194045816	EC23_56 38746_38570	5754	123.0	0.998	4.7019999999999995e-37	KY295897_p23	PHANOTATE	CDS	mmseqs	EC23_56	38746_38570	phrog_7353	19.5	0.2	5.43	#c9c9c9	hypothetical protein	unknown function
38954	38736	-	EC23	-22.559331517151424	EC23_57 38954_38736	9214	170.0	1.0	1.7209999999999997e-53	NC_019403_p16	PHANOTATE	CDS	mmseqs	EC23_57	38954_38736	phrog_31737	20.2	0.055	3.86	#c9c9c9	hypothetical protein	unknown function
39648	38965	-	EC23	-268435.01998601	EC23_58 39648_38965	6703	454.0	0.953	4.168e-149	KX279892_p10	PHANOTATE	CDS	mmseqs	EC23_58	39648_38965	phrog_29871	171.6	0.409	9.829999999999999e-30	#c9c9c9	hypothetical protein	unknown function
39882	39721	-	EC23	-28.091538018456312	EC23_59 39882_39721	15806	123.0	1.0	1.5139999999999999e-37	NC_019403_p14	PHANOTATE	CDS	mmseqs	EC23_59	39882_39721	phrog_33846	19.6	0.161	5.1	#c9c9c9	hypothetical protein	unknown function
41870	39882	-	EC23	-379120989681427.2	EC23_60 41870_39882	239	224.0	0.281	1.6240000000000002e-64	NC_031029_p115	PHANOTATE	CDS	mmseqs	EC23_60	41870_39882	phrog_19	80.5	0.082	3.58e-12	#ffdf59	DNA primase/helicase	DNA, RNA and nucleotide metabolism
42088	41870	-	EC23	-7.023118092328032	EC23_61 42088_41870	24605	160.0	1.0	7.746e-50	NC_029067_p7	PHANOTATE	CDS	mmseqs	EC23_61	42088_41870	phrog_28004	24.6	0.095	0.545	#c9c9c9	hypothetical protein	unknown function
42220	42092	-	EC23	-6.414749685462111	EC23_62 42220_42092	2490	65.0	0.747	1.602e-17	NC_011045_p6	PHANOTATE	CDS	mmseqs	EC23_62	42220_42092	phrog_13030	29.0	0.311	0.0726	#c9c9c9	hypothetical protein	unknown function
44680	42545	-	EC23	-691500801930.0591	EC23_63 44680_42545	414	377.0	0.444	2.8140000000000003e-115	NC_010106_p1	PHANOTATE	CDS	mmseqs	EC23_63	44680_42545	phrog_2166	263.8	0.168	8.279999999999999e-48	#ffdf59	RNA polymerase	DNA, RNA and nucleotide metabolism
